RedFighter;BlueFighter;RedOdds;BlueOdds;RedExpectedValue;BlueExpectedValue;Date;Location;Country;Winner;TitleBout;WeightClass;Gender;NumberOfRounds;BlueCurrentLoseStreak;BlueCurrentWinStreak;BlueDraws;BlueAvgSigStrLanded;BlueAvgSigStrPct;BlueAvgSubAtt;BlueAvgTDLanded;BlueAvgTDPct;BlueLongestWinStreak;BlueLosses;BlueTotalRoundsFought;BlueTotalTitleBouts;BlueWinsByDecisionMajority;BlueWinsByDecisionSplit;BlueWinsByDecisionUnanimous;BlueWinsByKO;BlueWinsBySubmission;BlueWinsByTKODoctorStoppage;BlueWins;BlueStance;BlueHeightCms;BlueReachCms;BlueWeightLbs;RedCurrentLoseStreak;RedCurrentWinStreak;RedDraws;RedAvgSigStrLanded;RedAvgSigStrPct;RedAvgSubAtt;RedAvgTDLanded;RedAvgTDPct;RedLongestWinStreak;RedLosses;RedTotalRoundsFought;RedTotalTitleBouts;RedWinsByDecisionMajority;RedWinsByDecisionSplit;RedWinsByDecisionUnanimous;RedWinsByKO;RedWinsBySubmission;RedWinsByTKODoctorStoppage;RedWins;RedStance;RedHeightCms;RedReachCms;RedWeightLbs;RedAge;BlueAge;LoseStreakDif;WinStreakDif;LongestWinStreakDif;WinDif;LossDif;TotalRoundDif;TotalTitleBoutDif;KODif;SubDif;HeightDif;ReachDif;AgeDif;SigStrDif;AvgSubAttDif;AvgTDDif;EmptyArena;BMatchWCRank;RMatchWCRank;RWFlyweightRank;RWFeatherweightRank;RWStrawweightRank;RWBantamweightRank;RHeavyweightRank;RLightHeavyweightRank;RMiddleweightRank;RWelterweightRank;RLightweightRank;RFeatherweightRank;RBantamweightRank;RFlyweightRank;RPFPRank;BWFlyweightRank;BWFeatherweightRank;BWStrawweightRank;BWBantamweightRank;BHeavyweightRank;BLightHeavyweightRank;BMiddleweightRank;BWelterweightRank;BLightweightRank;BFeatherweightRank;BBantamweightRank;BFlyweightRank;BPFPRank;BetterRank;Finish;FinishDetails;FinishRound;FinishRoundTime;TotalFightTimeSecs;RedDecOdds;BlueDecOdds;RSubOdds;BSubOdds;RKOOdds;BKOOdds
Alexandre Pantoja;Kai Asakura;-2500;2150;400;2150;07/12/2024;Las Vegas, Nevada, USA;USA;Red;VERDADERO;Flyweight;MALE;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Orthodox;17272;17526;125;0;6;0;441;49;8;261;47;6;3;42;3;0;2;4;2;4;0;12;Orthodox;1651;17018;125;34;31;0;-6;-6;-12;-3;-42;-3;-2;-4;762;508;-3;-441;-8;-261;;;0;;;;;;;;;;;;0;110;;;;;;;;;;;;;;Red;SUB;Rear Naked Choke;20;2:05:00;4250;3000;8000;1500;25000;4000;3500
Shavkat Rakhmonov;Ian Machado Garry;-2100;2950;47619;2950;07/12/2024;Las Vegas, Nevada, USA;USA;Red;FALSO;Welterweight;MALE;3;0;8;0;55;55;3;77;55;8;0;20;0;0;1;4;3;0;0;8;Orthodox;1905;18796;170;0;6;0;412;61;18;149;29;6;0;11;0;0;0;0;1;5;0;6;Orthodox;18542;19558;170;30;27;0;2;2;2;0;9;0;2;-5;508;-762;-3;138;-15;-72;;70;30;;;;;;;;30;;;;;;;;;;;;;70;;;;;;Red;U-DEC;;50;5:00:00;15000;2500;6500;1800;30000;2400;7000
Ciryl Gane;Alexander Volkov;-3800;3000;263158;3000;07/12/2024;Las Vegas, Nevada, USA;USA;Red;FALSO;Heavyweight;MALE;3;0;4;0;513;57;2;45;63;4;4;44;0;0;1;4;6;1;0;12;Orthodox;20066;2032;250;0;1;0;549;6;5;58;21;7;2;33;3;0;0;3;4;2;0;9;Orthodox;19304;20574;245;34;36;0;3;-3;3;2;11;-3;2;-1;762;-254;2;-36;-3;-13;;30;20;;;;;20;;;;;;;;;;;;;30;;;;;;;;;Red;S-DEC;;30;5:00:00;9000;-1600;4500;11000;30000;3500;11000
Bryce Mitchell;Kron Gracie;-9500;6250;105263;6250;07/12/2024;Las Vegas, Nevada, USA;USA;Red;FALSO;Featherweight;MALE;3;2;0;0;374;44;5;47;25;1;2;7;0;0;0;0;0;1;0;1;Southpaw;17526;1778;145;1;0;0;23;58;16;345;41;6;2;22;0;1;0;5;0;1;0;7;Southpaw;1778;1778;145;30;36;1;0;-5;-6;0;-15;0;0;0;-254;0;6;144;-11;-298;;;130;;;;;;;;;;130;;;;;;;;;;;;;;;;;Red;KO/TKO;Elbows;30;0:39:00;6390;-2000;11000;3800;14000;5000;40000
Nate Landwehr;Dooho Choi;-1300;1100;769231;1100;07/12/2024;Las Vegas, Nevada, USA;USA;Blue;FALSO;Featherweight;MALE;3;0;1;1;441;53;8;75;37;3;3;15;0;0;0;0;4;0;0;4;Orthodox;1778;1778;145;0;1;0;625;46;10;10;41;3;3;17;0;1;0;1;1;2;0;5;Orthodox;17526;18288;145;36;33;0;0;0;-1;0;-2;0;3;-2;254;-508;-3;-184;-2;-25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;neither;KO/TKO;Elbows;30;3:21:00;8010;2750;5500;5000;7000;3000;2500
Dominick Reyes;Anthony Smith;-3800;3000;263158;3000;07/12/2024;Las Vegas, Nevada, USA;USA;Red;FALSO;Light Heavyweight;MALE;3;1;0;0;324;49;6;46;26;3;12;63;1;0;1;1;7;6;0;15;Orthodox;19304;19304;205;0;1;0;487;5;3;35;28;6;4;21;2;0;1;1;4;1;0;7;Southpaw;19304;19558;205;34;36;1;-1;-3;8;8;42;-1;3;5;0;-254;2;-163;3;11;;130;120;;;;;;120;;;;;;;;;;;;;130;;;;;;;;Red;KO/TKO;Punches;20;4:46:00;5860;2500;7500;12000;12000;-1250;8000
Vicente Luque;Themba Gorimbo;-6500;-1620;153846;617284;07/12/2024;Las Vegas, Nevada, USA;USA;Red;FALSO;Welterweight;MALE;3;0;4;0;311;61;6;489;65;4;1;12;0;0;0;3;1;0;0;4;Orthodox;18542;19558;170;1;0;0;507;52;6;10;53;6;6;47;0;0;1;1;8;5;0;15;Orthodox;18034;1905;170;33;33;-1;4;-2;-11;-5;-35;0;-7;-5;508;508;0;-196;0;389;;;140;;;;;;;;140;;;;;;;;;;;;;;;;;;;Red;SUB;Anaconda Choke;10;0:52:00;520;4500;1300;4500;9000;6000;4500
Movsar Evloev;Aljamain Sterling;-2380;1950;420168;1950;07/12/2024;Las Vegas, Nevada, USA;USA;Red;FALSO;Featherweight;MALE;3;0;1;0;461;52;7;231;27;9;4;57;5;0;2;7;2;4;0;16;Orthodox;17018;18034;145;0;8;0;443;48;2;475;46;8;0;24;0;0;1;7;0;0;0;8;Orthodox;17018;18288;145;30;35;0;-7;1;8;4;33;5;2;4;0;-254;5;18;5;-244;;90;50;;;;;;;;;;50;;;;;;;;;;;;;90;;;;Red;U-DEC;;30;5:00:00;9000;-1350;2750;16000;11000;5500;16000
Randy Brown;Bryan Battle;1500;-1800;1500;555556;07/12/2024;Las Vegas, Nevada, USA;USA;Blue;FALSO;Welterweight;MALE;3;0;3;0;544;53;5;96;23;3;1;16;0;0;0;1;3;2;0;6;Orthodox;18542;19558;170;0;3;0;438;47;6;72;39;4;5;43;0;0;1;6;3;3;0;13;Orthodox;1905;19812;170;34;30;0;0;-1;-7;-4;-27;0;0;-1;-508;-254;-4;106;-1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;neither;S-DEC;;30;5:00:00;9000;4000;1850;10000;5500;4500;3000
Chris Weidman;Eryk Anders;-1120;-1080;892857;925926;07/12/2024;Las Vegas, Nevada, USA;USA;Blue;FALSO;Catch Weight;MALE;3;0;1;0;341;47;1;179;26;2;8;44;0;0;1;3;4;0;0;8;Southpaw;18542;1905;185;0;1;0;318;45;8;344;42;9;7;46;5;0;0;5;4;3;0;12;Orthodox;18796;19812;185;40;37;0;0;-7;-4;1;-2;-5;0;-3;-254;-762;-3;23;-7;-165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;neither;KO/TKO;Punches;20;4:51:00;5910;1500;2000;10000;18000;6500;3800
Cody Durden;Joshua Van;1420;-1700;1420;588235;07/12/2024;Las Vegas, Nevada, USA;USA;Blue;FALSO;Flyweight;MALE;3;0;1;0;839;53;0;162;63;3;1;14;0;0;1;2;1;0;0;4;Orthodox;1651;1651;125;0;1;1;335;5;9;436;5;4;4;24;0;0;0;4;1;1;0;6;Southpaw;17018;17018;125;33;23;0;0;-1;-2;-3;-10;0;0;-1;-508;-508;-10;504;-9;-274;;;140;;;;;;;;;;;;140;;;;;;;;;;;;;;;Red;U-DEC;;30;5:00:00;9000;3000;2500;5500;8000;9000;2250
Michael Chiesa;Max Griffin;-1300;1100;769231;1100;07/12/2024;Las Vegas, Nevada, USA;USA;Red;FALSO;Welterweight;MALE;3;0;1;0;392;49;3;145;41;3;8;44;0;1;2;2;3;0;0;8;Orthodox;18034;19304;170;0;1;0;186;4;10;335;51;4;7;41;1;0;0;5;0;7;0;12;Southpaw;18542;1905;170;37;39;0;0;-1;-4;1;3;-1;3;-7;-508;254;2;206;-7;-19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;neither;SUB;Rear Naked Choke;30;1:56:00;7160;2000;2000;3500;18000;16000;3500
Clay Guida;Chase Hooper;7000;-11000;7000;90909;07/12/2024;Las Vegas, Nevada, USA;USA;Blue;FALSO;Lightweight;MALE;3;0;3;0;508;52;23;145;24;3;3;23;0;0;0;2;2;3;0;7;Southpaw;18542;18796;155;2;0;0;264;33;6;313;36;4;19;105;2;0;4;9;2;5;0;20;Orthodox;17018;1778;155;42;25;-2;3;-1;-13;-16;-82;-2;0;-2;1524;1016;-17;244;17;-168;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;neither;SUB;Armbar;10;3:41:00;2210;12000;2250;28000;-1650;22000;7000
Kennedy Nzechukwu;Lukasz Brzeski;-5500;4100;181818;4100;07/12/2024;Las Vegas, Nevada, USA;USA;Red;FALSO;Heavyweight;MALE;3;1;0;0;49;5;5;46;5;1;4;14;0;0;0;1;0;1;0;2;Orthodox;19304;19812;236;0;1;0;534;47;2;58;45;3;5;31;0;0;1;1;6;1;0;9;Southpaw;19558;21082;205;32;32;1;-1;-2;-7;-1;-17;0;-6;0;-254;-127;0;-44;3;-12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;neither;KO/TKO;Punch;10;4:51:00;2910;3000;7000;7000;30000;-1500;12000
Petr Yan;Deiveson Figueiredo;-3050;2450;327869;2450;23/11/2024;Macau, China;China;Red;FALSO;Bantamweight;MALE;5;0;3;1;291;54;14;162;34;5;3;44;6;0;1;4;4;4;0;13;Orthodox;1651;17272;135;0;1;0;511;54;1;161;49;7;4;45;4;0;0;5;4;0;0;9;Switch;17018;17018;135;31;36;0;2;-2;4;-1;-1;2;0;4;-508;254;5;-22;13;1;;50;30;;;;;;;;;;;30;;;;;;;;;;;;;50;;;Red;U-DEC;;50;5:00:00;15000;1100;4500;20000;16000;2000;10000
Yan Xiaonan;Tabatha Ricci;-1980;1640;505051;1640;23/11/2024;Macau, China;China;Red;FALSO;Women's Strawweight;FEMALE;3;0;2;0;418;36;1;274;37;4;2;22;0;0;1;4;0;1;0;6;Orthodox;15494;15494;115;1;0;0;499;45;0;92;73;6;3;34;1;1;0;6;1;0;0;8;Orthodox;1651;16002;115;35;29;-1;2;-2;-2;-1;-12;-1;-1;1;-1016;-508;-6;-81;1;182;;100;20;;;20;;;;;;;;;;110;;;100;;;;;;;;;;;Red;U-DEC;;30;5:00:00;9000;1100;2150;20000;11000;2000;18000
Song Kenan;Muslim Salikhov;;-2300;;434783;23/11/2024;Macau, China;China;Blue;FALSO;Welterweight;MALE;3;0;1;0;338;49;0;108;32;5;4;26;0;0;2;2;3;0;0;7;Orthodox;18034;1778;170;0;1;0;449;46;0;42;3;2;4;23;0;0;0;3;3;0;0;6;Orthodox;18288;18034;170;34;40;0;0;3;1;0;3;0;0;0;-254;-254;6;-111;0;66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;neither;KO/TKO;Kick;10;3:49:00;2290;;1750;;18000;;2000
Wang Cong;Gabriella Fernandes;-9500;7500;105263;7500;23/11/2024;Macau, China;China;Blue;FALSO;Women's Flyweight;FEMALE;3;0;1;0;346;46;3;56;18;1;2;9;0;0;1;0;0;0;0;1;Southpaw;16764;16764;125;0;2;0;581;46;23;116;5;2;0;2;0;0;0;0;1;1;0;2;Southpaw;16764;16764;125;32;31;0;-1;-1;-1;2;7;0;-1;-1;0;0;-1;-235;-20;-6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;neither;SUB;Rear Naked Choke;20;3:49:00;5290;-1100;10000;4600;30000;2800;22000
Volkan Oezdemir;Carlos Ulberg;2150;-2650;2150;377358;23/11/2024;Macau, China;China;Blue;FALSO;Light Heavyweight;MALE;3;0;6;0;72;56;2;72;75;6;1;13;0;0;0;1;5;1;0;7;Orthodox;19304;19558;205;0;2;0;495;48;1;5;29;3;6;31;1;0;2;1;4;1;0;8;Orthodox;18796;1905;205;35;34;0;4;3;-1;-5;-18;-1;1;0;508;508;-1;225;1;22;;100;80;;;;;;80;;;;;;;;;;;;;100;;;;;;;;Red;U-DEC;;30;5:00:00;9000;5000;2400;16000;8000;5000;1300
