Date,Winner,WeightClass,Gender,Finish,RedFighter,BlueFighter,RedHeightCms,BlueHeightCms,RedReachCms,BlueReachCms,RedAge,BlueAge,FinishRound,TotalFightTimeSecs,RedAvgSigStrLanded,BlueAvgSigStrLanded,RedAvgTDLanded,BlueAvgTDLanded,RedOdds,BlueOdds,Year,WinnerHeight,WinnerReach,WinnerAvgStrikes,WinnerAvgTD,WinnerAge,WinnerAgeDiff,BettingResult
2024-07-12,Red,Flyweight,MALE,SUB,Alexandre Pantoja,Kai Asakura,165,173,170,175,34,31,2.0,425.0,4.41,0.0,2.61,0.0,-2500.0,2150.0,2024.0,165,170,4.41,2.61,34,3,Favorite
2024-07-12,Red,Welterweight,MALE,U-DEC,Shavkat Rakhmonov,Ian Machado Garry,185,190,196,188,30,27,5.0,1500.0,4.12,5.5,1.49,0.77,-2100.0,2950.0,2024.0,185,196,4.12,1.49,30,3,Favorite
2024-07-12,Red,Heavyweight,MALE,S-DEC,Ciryl Gane,Alexander Volkov,193,201,206,203,34,36,3.0,900.0,5.49,5.13,0.58,0.45,-3800.0,3000.0,2024.0,193,206,5.49,0.58,34,-2,Favorite
2024-07-12,Red,Featherweight,MALE,KO/TKO,Bryce Mitchell,Kron Gracie,178,175,178,178,30,36,3.0,639.0,2.3,3.74,3.45,0.47,-9500.0,6250.0,2024.0,178,178,2.3,3.45,30,-6,Favorite
2024-07-12,Blue,Featherweight,MALE,KO/TKO,Nate Landwehr,Dooho Choi,175,178,183,178,36,33,3.0,801.0,6.25,4.41,0.1,0.75,-1300.0,1100.0,2024.0,178,178,4.41,0.75,33,-3,Underdog
2024-07-12,Red,Light Heavyweight,MALE,KO/TKO,Dominick Reyes,Anthony Smith,193,193,196,193,34,36,2.0,586.0,4.87,3.24,0.35,0.46,-3800.0,3000.0,2024.0,193,196,4.87,0.35,34,-2,Favorite
2024-07-12,Red,Welterweight,MALE,SUB,Vicente Luque,Themba Gorimbo,180,185,190,196,33,33,1.0,52.0,5.07,3.11,0.1,4.89,-6500.0,-1620.0,2024.0,180,190,5.07,0.1,33,0,Favorite
2024-07-12,Red,Featherweight,MALE,U-DEC,Movsar Evloev,Aljamain Sterling,170,170,183,180,30,35,3.0,900.0,4.43,4.61,4.75,2.31,-2380.0,1950.0,2024.0,170,183,4.43,4.75,30,-5,Favorite
2024-07-12,Blue,Welterweight,MALE,S-DEC,Randy Brown,Bryan Battle,190,185,198,196,34,30,3.0,900.0,4.38,5.44,0.72,0.96,1500.0,-1800.0,2024.0,185,196,5.44,0.96,30,-4,Favorite
2024-07-12,Blue,Flyweight,MALE,U-DEC,Cody Durden,Joshua Van,170,165,170,165,33,23,3.0,900.0,3.35,8.39,4.36,1.62,1420.0,-1700.0,2024.0,165,165,8.39,1.62,23,-10,Favorite
2024-07-12,Red,Welterweight,MALE,SUB,Michael Chiesa,Max Griffin,185,180,190,193,37,39,3.0,716.0,1.86,3.92,3.35,1.45,-1300.0,1100.0,2024.0,185,190,1.86,3.35,37,-2,Favorite
2024-07-12,Blue,Lightweight,MALE,SUB,Clay Guida,Chase Hooper,170,185,178,188,42,25,1.0,221.0,2.64,5.08,3.13,1.45,7000.0,-11000.0,2024.0,185,188,5.08,1.45,25,-17,Favorite
2024-07-12,Red,Heavyweight,MALE,KO/TKO,Kennedy Nzechukwu,Lukasz Brzeski,196,193,211,198,32,32,1.0,291.0,5.34,4.9,0.58,0.46,-5500.0,4100.0,2024.0,196,211,5.34,0.58,32,0,Favorite
,Red,Bantamweight,MALE,U-DEC,Petr Yan,Deiveson Figueiredo,170,165,170,173,31,36,5.0,1500.0,5.11,2.91,1.61,1.62,-3050.0,2450.0,,170,170,5.11,1.61,31,-5,Favorite
,Red,Women's Strawweight,FEMALE,U-DEC,Yan Xiaonan,Tabatha Ricci,165,155,160,155,35,29,3.0,900.0,4.99,4.18,0.92,2.74,-1980.0,1640.0,,165,160,4.99,0.92,35,6,Favorite
,Blue,Welterweight,MALE,KO/TKO,Song Kenan,Muslim Salikhov,183,180,180,178,34,40,1.0,229.0,4.49,3.38,0.42,1.08,,-2300.0,,180,178,3.38,1.08,40,6,Unknown
,Blue,Women's Flyweight,FEMALE,SUB,Wang Cong,Gabriella Fernandes,168,168,168,168,32,31,2.0,529.0,5.81,3.46,1.16,0.56,-9500.0,7500.0,,168,168,3.46,0.56,31,-1,Underdog
,Blue,Light Heavyweight,MALE,U-DEC,Volkan Oezdemir,Carlos Ulberg,188,193,190,196,35,34,3.0,900.0,4.95,7.2,0.05,0.72,2150.0,-2650.0,,193,196,7.2,0.72,34,-1,Favorite
,Red,Light Heavyweight,MALE,KO/TKO,Zhang Mingyang,Ozzy Diaz,188,193,190,201,26,34,1.0,145.0,8.57,2.21,0.0,0.0,-2250.0,2100.0,,188,190,8.57,0.0,26,-8,Favorite
,Blue,Bantamweight,MALE,U-DEC,Baergeng Jieleyisi,SuYoung You,175,168,178,165,28,28,3.0,900.0,1.75,2.11,1.65,4.67,1900.0,-2300.0,,168,165,2.11,4.67,28,0,Favorite
,Blue,Flyweight,MALE,KO/TKO,Kiru Sahota,DongHun Choi,178,165,185,168,29,25,1.0,156.0,4.05,4.54,0.92,0.46,1020.0,-1220.0,,165,168,4.54,0.46,25,-4,Favorite
,Red,Women's Strawweight,FEMALE,KO/TKO,Shi Ming,Feng Xiaocan,157,170,152,168,30,22,3.0,646.0,3.48,5.43,0.37,1.08,3800.0,-4900.0,,157,152,3.48,0.37,30,8,Underdog
,Blue,Flyweight,MALE,S-DEC,Nyamjargal Tumendemberel,Carlos Hernandez,170,173,180,170,26,31,3.0,900.0,3.13,3.9,2.42,0.16,1020.0,-1220.0,,173,170,3.9,0.16,31,5,Favorite
,Red,Flyweight,MALE,U-DEC,Lone'er Kavanagh,Jose Ochoa,163,170,170,170,25,23,3.0,900.0,3.62,3.33,0.0,0.0,-3100.0,2500.0,,163,170,3.62,0.0,25,2,Favorite
,Red,Bantamweight,MALE,KO/TKO,Xiao Long,Quang Le,173,168,178,178,26,33,3.0,688.0,5.4,3.02,0.84,0.17,-1440.0,1360.0,,173,178,5.4,0.84,26,-7,Favorite
,Blue,Lightweight,MALE,U-DEC,Maheshate,Nikolas Motta,183,175,180,178,24,31,3.0,900.0,3.86,3.64,0.0,0.0,-2450.0,2000.0,,175,178,3.64,0.0,31,7,Underdog
,Red,Heavyweight,MALE,KO/TKO,Jon Jones,Stipe Miocic,193,193,213,203,37,42,3.0,869.0,4.38,4.67,1.89,1.74,-5500.0,4100.0,,193,213,4.38,1.89,37,-5,Favorite
,Red,Lightweight,MALE,U-DEC,Charles Oliveira,Michael Chandler,178,173,188,180,35,38,5.0,1500.0,3.4,4.49,2.25,1.59,-2650.0,2150.0,,178,188,3.4,2.25,35,-3,Favorite
,Red,Middleweight,MALE,U-DEC,Bo Nickal,Paul Craig,185,190,193,193,28,36,3.0,900.0,2.65,2.52,3.61,1.52,-13500.0,8000.0,,185,193,2.65,3.61,28,-8,Favorite
,Red,Women's Flyweight,FEMALE,U-DEC,Viviane Araujo,Karine Silva,163,165,173,170,37,30,3.0,900.0,4.04,3.04,1.86,2.79,2350.0,-2900.0,,163,173,4.04,1.86,37,7,Underdog
,Blue,Bantamweight,MALE,U-DEC,Jonathan Martinez,Marcus McGhee,173,173,178,175,30,34,3.0,900.0,4.44,6.06,0.38,0.46,-1050.0,-1150.0,,173,175,6.06,0.46,34,4,Favorite
,Red,Lightweight,MALE,SUB,Jim Miller,Damon Jackson,173,180,180,180,41,36,1.0,164.0,2.99,2.96,1.52,0.23,1950.0,-2380.0,,173,180,2.99,1.52,41,5,Underdog
,Red,Lightweight,MALE,U-DEC,David Onama,Roberto Romero,180,173,188,178,30,24,3.0,900.0,5.6,4.93,0.73,0.0,-14500.0,8500.0,,180,188,5.6,0.73,30,6,Favorite
,Red,Heavyweight,MALE,KO/TKO,Marcin Tybura,Jhonata Diniz,190,193,198,201,39,33,2.0,600.0,3.57,3.36,1.42,0.0,-1050.0,-1150.0,,190,198,3.57,1.42,39,6,Underdog
,Blue,Welterweight,MALE,KO/TKO,Mickey Gall,Ramiz Brahimaj,188,178,188,183,32,31,1.0,175.0,3.5,2.26,1.15,1.51,-1700.0,1420.0,,178,183,2.26,1.51,31,-1,Underdog
,Blue,Welterweight,MALE,KO/TKO,Bassil Hafez,Oban Elliott,180,183,183,183,32,26,3.0,640.0,3.71,4.26,2.21,2.16,2500.0,-3100.0,,183,183,4.26,2.16,26,-6,Favorite
,Blue,Women's Flyweight,FEMALE,U-DEC,Veronica Hardy,Eduarda Moura,163,168,163,168,29,30,3.0,900.0,3.12,2.6,0.93,4.37,,,,168,168,2.6,4.37,30,1,Unknown
2024-09-11,Blue,Welterweight,MALE,KO/TKO,Neil Magny,Carlos Prates,190,185,203,198,37,31,1.0,290.0,3.43,4.39,2.12,0.44,5500.0,-8000.0,2024.0,185,198,4.39,0.44,31,-6,Favorite
2024-09-11,Blue,Middleweight,MALE,SUB,Gerald Meerschaert,Reinier de Ridder,185,193,196,198,36,34,3.0,704.0,3.1,3.24,2.01,6.39,2500.0,-3100.0,2024.0,193,198,3.24,6.39,34,-2,Favorite
2024-09-11,Red,Bantamweight,MALE,U-DEC,Gaston Bolanos,Cortavious Romious,170,163,175,173,32,30,3.0,900.0,3.74,2.1,0.78,1.97,2050.0,-2500.0,2024.0,170,175,3.74,0.78,32,2,Underdog
2024-09-11,Blue,Women's Strawweight,FEMALE,U-DEC,Luana Pinheiro,Gillian Robertson,157,165,157,160,31,29,3.0,900.0,3.42,2.89,0.18,2.68,3600.0,-4700.0,2024.0,165,160,2.89,2.68,29,-2,Favorite
2024-09-11,Red,Middleweight,MALE,KO/TKO,Mansur Abdul-Malik,Dusko Todorovic,188,185,201,188,27,30,1.0,164.0,6.61,5.35,0.0,0.92,-4850.0,3700.0,2024.0,188,201,6.61,0.0,27,-3,Favorite
2024-09-11,Blue,Women's Strawweight,FEMALE,U-DEC,Karolina Kowalkiewicz,Denise Gomes,160,157,163,160,39,24,3.0,900.0,5.54,4.55,0.31,0.72,,,2024.0,157,160,4.55,0.72,24,-15,Unknown
2024-09-11,Red,Welterweight,MALE,KO/TKO,Elizeu Zaleski dos Santos,Zachary Scroggin,180,190,185,188,37,28,1.0,75.0,4.33,2.4,0.07,0.0,,,2024.0,180,185,4.33,0.07,37,9,Unknown
2024-09-11,Blue,Welterweight,MALE,KO/TKO,Matthew Semelsberger,Charles Radtke,185,175,190,183,31,34,1.0,51.0,3.77,3.38,1.01,0.59,,,2024.0,175,183,3.38,0.59,34,3,Unknown
2024-09-11,Blue,Bantamweight,MALE,SUB,Cody Stamann,Da'Mon Blackshear,168,178,163,183,35,30,1.0,259.0,4.32,4.3,2.17,2.17,,,2024.0,178,183,4.3,2.17,30,-5,Unknown
2024-09-11,Red,Middleweight,MALE,SUB,Tresean Gore,Antonio Trocoli,183,198,190,201,30,33,1.0,83.0,3.0,1.29,3.46,0.84,,,2024.0,183,190,3.0,3.46,30,-3,Unknown
2024-09-11,Red,Women's Bantamweight,FEMALE,KO/TKO,Melissa Mullins,Klaudia Sygula,170,173,173,175,33,25,2.0,380.0,3.43,1.89,1.53,0.0,,,2024.0,170,173,3.43,1.53,33,8,Unknown
2024-02-11,Red,Flyweight,MALE,U-DEC,Brandon Moreno,Amir Albazi,170,165,178,173,30,31,5.0,1500.0,3.99,2.72,1.59,1.39,-1800.0,1500.0,2024.0,170,178,3.99,1.59,30,-1,Favorite
2024-02-11,Red,Women's Flyweight,FEMALE,U-DEC,Erin Blanchfield,Rose Namajunas,163,165,168,165,25,32,5.0,1500.0,5.24,3.71,1.86,1.46,-1550.0,1300.0,2024.0,163,168,5.24,1.86,25,-7,Favorite
2024-02-11,Blue,Light Heavyweight,MALE,S-DEC,Caio Machado,Brendson Ribeiro,193,190,198,206,30,28,3.0,900.0,5.82,3.16,0.0,1.27,-1920.0,1600.0,2024.0,190,206,3.16,1.27,28,-2,Underdog
2024-02-11,Blue,Women's Flyweight,FEMALE,SUB,Ariane da Silva,Jasmine Jasudavicius,168,170,170,173,30,35,3.0,748.0,4.04,3.7,0.52,0.25,1900.0,-2500.0,2024.0,170,173,3.7,0.25,35,5,Favorite
2024-02-11,Blue,Middleweight,MALE,KO/TKO,Marc-Andre Barriault,Dustin Stoltzfus,185,183,188,190,34,32,1.0,268.0,5.98,3.47,0.21,2.31,-2700.0,2200.0,2024.0,183,190,3.47,2.31,32,-2,Underdog
2024-02-11,Red,Welterweight,MALE,U-DEC,Mike Malott,Trevin Giles,185,183,185,188,32,32,3.0,900.0,3.85,3.17,2.27,1.07,-3750.0,2950.0,2024.0,185,185,3.85,2.27,32,0,Favorite
2024-02-11,Red,Bantamweight,MALE,U-DEC,Aiemann Zahabi,Pedro Munhoz,173,168,173,165,36,38,3.0,900.0,4.06,5.38,0.16,0.48,,,2024.0,173,173,4.06,0.16,36,-2,Unknown
2024-02-11,Red,Bantamweight,MALE,SUB,Charles Jourdain,Victor Henry,175,170,175,173,28,37,2.0,523.0,5.43,7.66,0.34,0.84,,,2024.0,175,175,5.43,0.34,28,-9,Unknown
2024-02-11,Blue,Featherweight,MALE,SUB,Jack Shore,Youssef Zalal,173,178,180,183,29,28,2.0,359.0,3.6,2.84,3.22,2.34,,,2024.0,178,183,2.84,2.34,28,-1,Unknown
2024-02-11,Red,Heavyweight,MALE,U-DEC,Alexandr Romanov,Rodrigo Nascimento,188,188,190,203,33,31,3.0,900.0,3.78,3.71,4.49,1.02,,,2024.0,188,190,3.78,4.49,33,2,Unknown
2024-02-11,Red,Bantamweight,MALE,S-DEC,Serhiy Sidey,Garrett Armfield,180,168,183,178,28,28,3.0,900.0,4.87,5.35,0.0,0.11,,,2024.0,180,183,4.87,0.0,28,0,Unknown
2024-02-11,Blue,Bantamweight,MALE,U-DEC,Chad Anheliger,Cody Gibson,168,178,163,180,37,37,3.0,900.0,3.11,3.47,0.68,2.18,,,2024.0,178,180,3.47,2.18,37,0,Unknown
2024-02-11,Red,Women's Flyweight,FEMALE,S-DEC,Jamey-Lyn Horth,Ivana Petrovic,170,173,168,178,34,30,3.0,900.0,3.29,2.0,0.1,2.53,,,2024.0,170,168,3.29,0.1,34,4,Unknown
